,all,sgp,ngdb,cmibs,ozchem,ags,dmsed
Cenozoic,14437,667,11840,577,4,9,1219
Mesozoic,17850,4156,5154,2484,6,2895,2783
Paleozoic,40994,17205,12092,5912,436,1015,2676
Phanerozoic (indet),226,2,129,95,0,0,0
Subtotal Phanerozoic,73507,22030,29215,9068,446,3919,6678
Neoproterozoic,14281,12596,0,349,345,0,778
Mesoproterozoic,5543,4460,0,464,152,0,201
Paleoproterozoic,7372,4204,0,485,2541,0,105
Proterozoic (indet),2230,0,1225,207,317,0,0
Subtotal Proterozoic,29426,21260,1225,1505,3355,0,1084
Neoarchean,1806,1040,0,432,143,0,189
Mesoarchean,388,96,0,154,99,0,34
Paleoarchean,123,29,0,52,13,0,27
Eoarchean,20,0,0,20,0,0,0
Archean (indet),465,0,0,461,4,0,0
Subtotal Archean,2802,1165,0,1119,259,0,250
NULL,20270,3707,12145,584,1753,273,17
TOTALs,231740,92617,73025,23968,9873,8111,16041