era,count_samples_all,count_sgp,count_ngdb,count_cmibs,count_ozchem,count_ags,count_dmsed
Cenozoic,14437,667,11840,577,4,9,1219
Mesozoic,17850,4156,5154,2484,6,2895,2783
Paleozoic,40971,17182,12092,5912,436,1015,2676
Neoproterozoic,14281,12596,0,349,345,0,778
Mesoproterozoic,5543,4460,0,464,152,0,201
Paleoproterozoic,7372,4204,0,485,2541,0,105
Neoarchean,1806,1040,0,432,143,0,189
Mesoarchean,388,96,0,154,99,0,34
Paleoarchean,123,29,0,52,13,0,27
Eoarchean,20,0,0,20,0,0,0
NULL,23193,3709,13499,1347,2074,273,17